Gene	Species	Length	null_ω_0	lnL	alt_ω_0	alt_ω_1	alt_ω_2	lnL	2Δl	Significant
NANOG	166	419	0.43416	-27819.68184	0.43931	0.38944	0.32974	-27818.17198	3.01971	F
POU5F1	185	376	0.14077	-25282.60901	0.14178	0.11757	0.13300	-25283.09080	-0.96357	F
SOX2	176	328	0.02530	-9418.54571	0.02580	0.00010	0.02267	-9416.00993	5.07157	F
IGF1	188	184	0.11167	-8840.38721	0.11271	0.01681	0.14877	-8837.00848	6.75746	T
IGF2	170	192	0.21710	-11244.17875	0.21594	0.23793	0.28794	-11243.94779	0.46192	F
IGF1R	177	1407	0.04346	-77268.58432	0.04406	0.03523	0.01475	-77259.88354	17.40156	T
IGF2R	179	2659	0.15481	-227525.58418	0.15621	0.14957	0.07973	-227506.39253	38.38330	T
IGFBP2	178	339	0.12539	-18769.89403	0.12542	0.13062	0.11540	-18769.85332	0.08143	F
IGFBP4	184	266	0.08705	-12806.73647	0.08873	0.07297	0.02377	-12803.42085	6.63124	T
IGFBP5	183	276	0.05614	-13417.31243	0.05221	0.28357	0.03968	-13391.97007	50.68473	T
PAPPA	167	1547	0.10347	-88534.06170	0.10351	0.10716	0.09867	-88533.95009	0.22323	F
PAPPA2	177	1814	0.23247	-143034.89813	0.23369	0.28113	0.15569	-143022.99099	23.81428	T
STC1	190	250	0.11176	-12432.70525	0.11387	0.14891	0.01452	-12424.91661	15.57729	T
STC2	188	315	0.15305	-23120.38790	0.15106	0.31135	0.11059	-23112.68801	15.39978	T
HDHD2	187	262	0.12934	-15915.20766	0.13244	0.07606	0.07797	-15912.32786	5.75961	F
HADH	187	768	0.16627	-54883.17408	0.16727	0.21574	0.10148	-54877.11149	12.12517	T
HK2	182	923	0.04766	-54010.19875	0.04853	0.04410	0.02321	-54004.35573	11.68603	T
PSMA7	166	248	0.00862	-10956.85592	0.00846	0.01871	0.00010	-10954.86251	3.98682	F
COX17	188	64	0.10251	-3274.75748	0.10383	0.17543	0.02000	-3271.49922	6.51652	T
COX5A	184	156	0.15939	-71822.92260	0.16365	0.13688	0.04157	-7178.83580	6.91292	T
ABAT	186	503	0.06960	-31458.41288	0.07005	0.07058	0.05165	-31457.64503	1.53569	F
DAP	178	105	0.10398	-6427.82104	0.10025	0.34109	0.13344	-6424.19003	7.26201	T
CAPZB	189	280	0.05636	-12884.00500	0.05183	0.21403	0.06694	-12869.91129	28.18741	T
PMPCA	180	538	0.09503	-40866.04500	0.09505	0.11584	0.07024	-40864.63727	2.81546	F
ACTR1A	190	376	0.00238	-16117.88758	0.00250	0.00010	0.00010	-16116.83106	2.11304	F
DDIT4	190	242	0.06319	-12793.89545	0.06248	0.05886	0.10282	-12792.89750	1.99590	F
DOOST	190	440	0.04805	-26366.80886	0.04863	0.04583	0.02850	-26365.31697	2.98378	F
EHF	190	302	0.07181	-16681.09530	0.07177	0.09767	0.05314	-16680.41838	1.35384	F
EVPL	190	2063	0.16419	-183006.34489	0.16349	0.22592	0.13864	-182994.61076	23.46827	T
GAS7	189	485	0.04357	-23709.20583	0.04241	0.08473	0.05329	-23705.11438	8.18289	T
MAP1B	189	2535	0.11335	-173371.54881	0.11417	0.11982	0.08601	-173365.47988	12.13787	T
MRPL27	190	146	0.20773	-11290.01779	0.20693	0.20627	0.23207	-11289.93280	0.16998	F
MYO1A	190	1050	0.19823	-85010.59504	0.19927	0.30039	0.10873	-84990.42381	40.34246	T
NPAS4	190	811	0.12789	-46177.01589	0.12814	0.13862	0.11582	-46176.73183	0.56811	F
PAFAH1B3	190	239	0.05740	-13660.00989	0.05745	0.08718	0.03635	-13658.28753	3.44471	F
PAQR3	189	313	0.03819	-14823.53686	0.03830	0.07061	0.00904	-14818.48506	10.10360	T
PHF24	190	407	0.14449	-26931.62910	0.14512	0.11792	0.14231	-26931.26584	0.72654	F
POLR1C	189	356	0.05326	-21902.88863	0.05360	0.06763	0.03354	-21901.36851	3.04023	F
QRICH1	187	806	0.02393	-30449.63240	0.02444	0.00010	0.01748	-30444.32896	10.60687	T
TGFB3	189	414	0.04065	-19883.98495	0.04184	0.03460	0.01060	-19878.50001	10.96988	T
TGM1	189	930	0.09025	-59422.77232	0.09182	0.08967	0.03614	-59410.78254	23.97954	T
USH1C	189	875	0.09236	-52871.28691	0.09149	0.16649	0.06675	-52860.44719	21.67942	T
ZC3HC1	189	517	0.19579	-39579.17226	0.19394	0.20512	0.24245	-39577.77853	2.78746	F
ZCCHC17	189	246	0.08826	-11406.44755	0.08994	0.04220	0.06541	-11404.81762	3.25985	F
